%$Well : Cockburn1 : 04/04/2013 13:01:25
%DEPTH      PERM_F1    PHI        
%M          mD         Dec        
342.1380   2992.5447  0.2803     
342.2904   3055.7607  0.2809     
342.4428   3102.2939  0.2813     
342.5952   3132.5208  0.2816     
342.7476   3166.1577  0.2819     
342.9000   3221.4619  0.2824     
343.0524   3287.3193  0.2829     
343.2048   3353.5579  0.2835     
343.3572   3409.0698  0.2840     
343.5096   3451.9785  0.2843     
343.6620   3504.5569  0.2847     
343.8144   3569.2334  0.2853     
343.9668   3631.7654  0.2858     
344.1192   3704.3396  0.2863     
344.2716   3771.1309  0.2868     
344.4240   3799.5063  0.2871     
344.5764   3817.6660  0.2872     
344.7288   3818.7715  0.2872     
344.8812   3791.5854  0.2870     
345.0336   3750.1172  0.2867     
345.1860   3693.8240  0.2862     
345.3384   3632.5723  0.2858     
345.4908   3584.6926  0.2854     
345.6432   3546.5762  0.2851     
345.7956   3485.6443  0.2846     
345.9480   3408.9624  0.2840     
346.1004   3358.5811  0.2835     
346.2528   3329.2605  0.2833     
346.4052   3296.6282  0.2830     
346.5576   3283.2395  0.2829     
346.7100   3304.0642  0.2831     
346.8624   3329.8945  0.2833     
347.0148   3307.2900  0.2831     
347.1672   3263.7747  0.2827     
347.3196   3211.6121  0.2823     
347.4720   3167.8518  0.2819     
347.6244   3140.5002  0.2816     
347.7768   3118.9543  0.2814     
347.9292   3097.1443  0.2813     
348.0816   3080.4092  0.2811     
348.2340   3080.9124  0.2811     
348.3864   3097.9485  0.2813     
348.5388   3125.7773  0.2815     
348.6912   3158.2935  0.2818     
348.8436   3185.1384  0.2820     
348.9960   3200.1465  0.2822     
349.1484   3200.9475  0.2822     
349.3008   3206.3706  0.2822     
349.4532   3216.5557  0.2823     
349.6056   3234.6406  0.2825     
349.7580   3257.4778  0.2827     
349.9104   3280.5496  0.2829     
350.0628   3302.6453  0.2831     
350.2152   3325.6235  0.2833     
350.3676   3354.0161  0.2835     
350.5200   3378.8201  0.2837     
350.6724   3402.5068  0.2839     
