%$Well : Cockburn1 : 04/04/2013 13:01:25
%DEPTH      PERM_F1    PHI        
%M          mD         Dec        
594.8172   2611.8186  0.2765     
594.9696   2595.7839  0.2763     
595.1220   2581.9377  0.2762     
595.2744   2563.8721  0.2760     
595.4268   2542.0110  0.2757     
595.5792   2521.8450  0.2755     
595.7316   2504.7871  0.2753     
595.8840   2484.4592  0.2751     
596.0364   2459.9343  0.2748     
596.1888   2437.7219  0.2746     
596.3412   2426.1172  0.2745     
596.4936   2413.0388  0.2743     
596.6460   2396.6189  0.2741     
596.7984   2382.3567  0.2740     
596.9508   2354.9866  0.2736     
597.1032   2326.5068  0.2733     
597.2556   2301.1465  0.2730     
597.4080   2274.6204  0.2727     
597.5604   2248.2690  0.2724     
597.7128   2223.7781  0.2721     
597.8652   2200.0144  0.2718     
598.0176   2174.7268  0.2715     
598.1700   2147.7600  0.2711     
598.3224   2122.4465  0.2708     
598.4748   2102.5300  0.2706     
598.6272   2085.6931  0.2703     
598.7796   2070.9414  0.2702     
598.9320   2055.5369  0.2700     
599.0844   2034.7517  0.2697     
599.2368   2011.8179  0.2694     
599.3892   1987.0228  0.2690     
599.5416   1960.4866  0.2687     
599.6940   1934.4802  0.2683     
599.8464   1913.9366  0.2680     
599.9988   1899.4293  0.2678     
600.1512   1883.3467  0.2676     
600.3036   1866.8749  0.2674     
600.4560   1850.9519  0.2671     
600.6084   1840.1998  0.2670     
600.7608   1840.7853  0.2670     
600.9132   1846.2474  0.2671     
601.0656   1853.3132  0.2672     
601.2180   1863.3115  0.2673     
601.3704   1874.5649  0.2675     
601.5228   1886.4467  0.2676     
601.6752   1896.1118  0.2678     
601.8276   1903.4761  0.2679     
601.9800   1907.3589  0.2679     
602.1324   1906.5042  0.2679     
602.2848   1900.2686  0.2678     
602.4372   1884.3705  0.2676     
602.5896   1867.0413  0.2674     
602.7420   1859.2048  0.2673     
602.8944   1862.1091  0.2673     
603.0468   1873.4792  0.2675     
603.1992   1882.6023  0.2676     
603.3516   1888.9014  0.2677     
603.5040   1896.5043  0.2678     
603.6564   1902.9320  0.2679     
603.8088   1905.0754  0.2679     
603.9612   1902.4706  0.2679     
604.1136   1901.1101  0.2679     
604.2660   1900.5603  0.2678     
604.4184   1902.6886  0.2679     
604.5708   1904.7512  0.2679     
604.7232   1905.3297  0.2679     
604.8756   1906.0122  0.2679     
605.0280   1902.1743  0.2679     
605.1804   1903.0950  0.2679     
605.3328   1909.4281  0.2680     
605.4852   1914.9264  0.2680     
605.6376   1922.6769  0.2682     
605.7900   1930.6530  0.2683     
605.9424   1936.0320  0.2683     
606.0948   1942.7290  0.2684     
606.2472   1950.5482  0.2685     
606.3996   1956.6564  0.2686     
606.5520   1962.9756  0.2687     
606.7044   1970.5208  0.2688     
606.8568   1980.4937  0.2690     
607.0092   1988.7755  0.2691     
607.1616   1993.5759  0.2691     
607.3140   1996.5690  0.2692     
607.4664   2003.7246  0.2693     
607.6188   2011.8735  0.2694     
607.7712   2018.8507  0.2695     
607.9236   2027.9066  0.2696     
608.0760   2038.0548  0.2697     
608.2284   2044.4836  0.2698     
608.3808   2046.3519  0.2698     
608.5332   2044.3143  0.2698     
608.6856   2040.9299  0.2698     
608.8380   2036.3757  0.2697     
608.9904   2035.7435  0.2697     
609.1428   2037.8049  0.2697     
609.2952   2038.3251  0.2697     
609.4476   2040.0710  0.2697     
609.6000   2047.0864  0.2698     
609.7524   2055.8545  0.2700     
609.9048   2065.8823  0.2701     
610.0572   2066.7258  0.2701     
610.2096   2056.3630  0.2700     
610.3620   2043.7092  0.2698     
610.5144   2031.8239  0.2696     
610.6668   2028.4200  0.2696     
610.8192   2046.2411  0.2698     
610.9716   2090.8071  0.2704     
611.1240   2128.4961  0.2709     
611.2764   2159.1177  0.2713     
611.4288   2173.9272  0.2715     
611.5812   2140.7361  0.2711     
611.7336   2097.5288  0.2705     
611.8860   2061.5125  0.2700     
612.0384   2030.1494  0.2696     
612.1908   2005.6481  0.2693     
612.3432   1986.0569  0.2690     
612.4956   1965.6875  0.2687     
612.6480   1941.3210  0.2684     
612.8004   1911.8629  0.2680     
612.9528   1901.2688  0.2679     
613.1052   1903.1035  0.2679     
613.2576   1910.3541  0.2680     
613.4100   1934.6285  0.2683     
613.5624   1956.1854  0.2686     
613.7148   1969.3022  0.2688     
613.8672   1979.5677  0.2689     
614.0196   1983.5789  0.2690     
614.1720   1982.7814  0.2690     
614.3244   1984.5768  0.2690     
614.4768   1979.9165  0.2689     
614.6292   1983.0560  0.2690     
614.7816   1992.4019  0.2691     
614.9340   2004.2902  0.2693     
615.0864   2025.2698  0.2696     
615.2388   2027.9066  0.2696     
615.3912   2026.9989  0.2696     
615.5436   2020.3427  0.2695     
615.6960   2017.3085  0.2694     
615.8484   2015.7830  0.2694     
616.0008   2015.1254  0.2694     
616.1532   2012.0872  0.2694     
616.3056   2012.3766  0.2694     
616.4580   2011.5286  0.2694     
616.6104   2000.9366  0.2692     
616.7628   1979.1248  0.2689     
616.9152   1954.3915  0.2686     
617.0676   1932.0131  0.2683     
617.2200   1911.9543  0.2680     
617.3724   1890.0078  0.2677     
617.5248   1859.9409  0.2673     
617.6772   1824.8794  0.2668     
617.8296   1797.6711  0.2664     
617.9820   1776.7662  0.2660     
618.1344   1756.4092  0.2657     
618.2868   1737.7152  0.2655     
618.4392   1716.0403  0.2651     
618.5916   1696.3855  0.2648     
618.7440   1678.2620  0.2645     
618.8964   1665.3810  0.2643     
619.0488   1661.7985  0.2643     
619.2012   1666.0927  0.2643     
619.3536   1666.9137  0.2644     
619.5060   1656.8936  0.2642     
619.6584   1634.6400  0.2638     
619.8108   1598.7988  0.2633     
619.9632   1562.1044  0.2626     
620.1156   1525.8798  0.2620     
620.2680   1490.2007  0.2614     
620.4204   1455.4008  0.2608     
620.5728   1423.8771  0.2602     
620.7252   1395.5038  0.2597     
620.8776   1370.8138  0.2592     
621.0300   1351.8193  0.2589     
621.1824   1333.9059  0.2585     
621.3348   1319.5524  0.2582     
621.4872   1303.7902  0.2579     
621.6396   1287.1417  0.2576     
621.7920   1272.2885  0.2573     
621.9444   1258.5509  0.2570     
622.0968   1247.9702  0.2568     
622.2492   1240.9144  0.2567     
622.4016   1232.4977  0.2565     
622.5540   1223.6827  0.2563     
622.7064   1212.9330  0.2561     
622.8588   1200.7009  0.2558     
623.0112   1191.2894  0.2556     
623.1636   1191.4506  0.2556     
623.3160   1198.7960  0.2558     
623.4684   1213.4158  0.2561     
623.6208   1226.9702  0.2564     
623.7732   1239.3694  0.2566     
623.9256   1249.0176  0.2568     
624.0780   1254.5994  0.2569     
624.2304   1259.3975  0.2570     
624.3828   1265.8510  0.2572     
624.5352   1274.8960  0.2574     
624.6876   1285.7919  0.2576     
624.8400   1296.4598  0.2578     
624.9924   1306.3999  0.2580     
625.1448   1314.1752  0.2581     
625.2972   1321.8014  0.2583     
625.4496   1331.6029  0.2585     
625.6020   1340.7189  0.2587     
625.7544   1350.9497  0.2589     
625.9068   1367.5853  0.2592     
626.0592   1392.3844  0.2596     
626.2116   1420.2631  0.2602     
626.3640   1444.0194  0.2606     
626.5164   1470.6908  0.2611     
626.6688   1497.7792  0.2615     
626.8212   1522.3746  0.2620     
626.9736   1553.8630  0.2625     
627.1260   1584.4924  0.2630     
627.2784   1614.0736  0.2635     
627.4308   1646.0209  0.2640     
627.5832   1678.7802  0.2645     
627.7356   1709.9761  0.2650     
627.8880   1737.9551  0.2655     
628.0404   1764.4717  0.2659     
628.1928   1792.5631  0.2663     
628.3452   1819.7567  0.2667     
628.4976   1842.8698  0.2670     
628.6500   1863.3883  0.2673     
628.8024   1884.3516  0.2676     
628.9548   1908.0399  0.2680     
629.1072   1942.2114  0.2684     
629.2596   1984.1614  0.2690     
629.4120   2028.1017  0.2696     
629.5644   2071.0144  0.2702     
629.7168   2111.2024  0.2707     
629.8692   2148.0859  0.2711     
630.0216   2178.8723  0.2715     
630.1740   2206.6812  0.2719     
630.3264   2231.5940  0.2722     
630.4788   2255.1880  0.2725     
630.6312   2270.1602  0.2726     
630.7836   2270.3188  0.2726     
630.9360   2258.8782  0.2725     
631.0884   2236.1868  0.2722     
631.2408   2205.5227  0.2719     
631.3932   2169.6189  0.2714     
631.5456   2158.2568  0.2713     
631.6980   2160.4651  0.2713     
631.8504   2168.0068  0.2714     
632.0028   2180.0417  0.2715     
632.1552   2184.3113  0.2716     
632.3076   2182.3708  0.2716     
632.4600   2179.1328  0.2715     
632.6124   2174.1492  0.2715     
632.7648   2164.7190  0.2714     
632.9172   2159.3596  0.2713     
633.0696   2159.9668  0.2713     
633.2220   2166.2935  0.2714     
633.3744   2188.9172  0.2717     
633.5268   2204.1162  0.2718     
633.6792   2217.4561  0.2720     
633.8316   2229.1348  0.2722     
633.9840   2225.8198  0.2721     
634.1364   2216.4771  0.2720     
634.2888   2212.3887  0.2719     
634.4412   2212.0325  0.2719     
634.5936   2206.9763  0.2719     
634.7460   2198.9028  0.2718     
634.8984   2195.0505  0.2717     
635.0508   2185.8098  0.2716     
635.2032   2173.9346  0.2715     
635.3556   2158.8638  0.2713     
635.5080   2142.0261  0.2711     
635.6604   2124.5635  0.2708     
635.8128   2095.4500  0.2705     
635.9652   2064.8044  0.2701     
636.1176   2033.5941  0.2697     
636.2700   2004.8914  0.2693     
636.4224   1989.1654  0.2691     
636.5748   1995.0752  0.2691     
636.7272   2009.8846  0.2693     
636.8796   2032.0508  0.2696     
637.0320   2041.4102  0.2698     
637.1844   2037.9580  0.2697     
637.3368   2015.8744  0.2694     
637.4892   1981.1696  0.2690     
637.6416   1960.0930  0.2687     
637.7940   1943.8982  0.2684     
637.9464   1930.6229  0.2683     
638.0988   1917.7278  0.2681     
638.2512   1907.5646  0.2679     
638.4036   1904.9525  0.2679     
638.5560   1907.6261  0.2679     
638.7084   1917.4379  0.2681     
638.8608   1939.9745  0.2684     
639.0132   1964.7396  0.2687     
639.1656   1991.2968  0.2691     
639.3180   2016.0060  0.2694     
639.4704   2027.4381  0.2696     
639.6228   2024.9474  0.2695     
639.7752   2018.9043  0.2695     
639.9276   2014.5682  0.2694     
640.0800   2022.0658  0.2695     
640.2324   2039.3433  0.2697     
640.3848   2056.2200  0.2700     
640.5372   2066.4204  0.2701     
640.6896   2062.9255  0.2701     
640.8420   2038.4535  0.2697     
640.9944   1996.7371  0.2692     
641.1468   1964.7069  0.2687     
641.2992   1945.5410  0.2685     
641.4516   1941.5819  0.2684     
641.6040   1972.0876  0.2688     
641.7564   2009.1510  0.2693     
641.9088   2038.2350  0.2697     
642.0612   2070.5073  0.2701     
642.2136   2103.7878  0.2706     
642.3660   2137.4692  0.2710     
642.5184   2172.7153  0.2715     
642.6708   2217.5410  0.2720     
642.8232   2273.1941  0.2727     
642.9756   2309.7358  0.2731     
643.1280   2319.7327  0.2732     
643.2804   2312.9612  0.2732     
643.4328   2278.8945  0.2728     
643.5852   2249.6199  0.2724     
643.7376   2229.6426  0.2722     
643.8900   2208.9897  0.2719     
644.0424   2194.7856  0.2717     
644.1948   2189.7747  0.2717     
644.3472   2183.1062  0.2716     
644.4996   2183.8918  0.2716     
644.6520   2180.3984  0.2715     
644.8044   2168.8472  0.2714     
644.9568   2152.3582  0.2712     
645.1092   2125.2952  0.2709     
645.2616   2115.3037  0.2707     
645.4140   2110.7839  0.2707     
645.5664   2112.3091  0.2707     
645.7188   2119.7949  0.2708     
645.8712   2132.1306  0.2709     
646.0236   2140.9668  0.2711     
646.1760   2146.9553  0.2711     
646.3284   2144.7170  0.2711     
646.4808   2135.4980  0.2710     
646.6332   2135.5850  0.2710     
646.7856   2151.6155  0.2712     
646.9380   2168.9688  0.2714     
647.0904   2179.9006  0.2715     
647.2428   2190.8005  0.2717     
647.3952   2200.2388  0.2718     
647.5476   2215.7610  0.2720     
647.7000   2242.1643  0.2723     
647.8524   2263.9299  0.2726     
648.0048   2291.4844  0.2729     
648.1572   2324.2932  0.2733     
648.3096   2356.5078  0.2737     
648.4620   2399.7236  0.2742     
648.6144   2437.6531  0.2746     
648.7668   2467.2095  0.2749     
648.9192   2484.3381  0.2751     
649.0716   2489.4585  0.2752     
649.2240   2495.4934  0.2752     
649.3764   2508.3271  0.2754     
649.5288   2531.6377  0.2756     
649.6812   2559.3604  0.2759     
649.8336   2588.4587  0.2762     
649.9860   2616.4670  0.2765     
650.1384   2648.2087  0.2769     
650.2908   2680.2246  0.2772     
650.4432   2708.4119  0.2775     
650.5956   2733.4912  0.2778     
650.7480   2761.1638  0.2780     
650.9004   2795.5422  0.2784     
651.0528   2848.3320  0.2789     
651.2052   2934.4163  0.2797     
651.3576   3009.6584  0.2804     
651.5100   3068.2434  0.2810     
651.6624   3114.8154  0.2814     
651.8148   3142.6208  0.2817     
651.9672   3166.4893  0.2819     
652.1196   3170.7534  0.2819     
652.2720   3145.4617  0.2817     
652.4244   3119.8230  0.2815     
652.5768   3102.6851  0.2813     
652.7292   3097.5317  0.2813     
652.8816   3099.1926  0.2813     
653.0340   3104.5229  0.2813     
653.1864   3103.0859  0.2813     
653.3388   3098.9268  0.2813     
653.4912   3086.5674  0.2812     
653.6436   3073.2520  0.2810     
653.7960   3060.8970  0.2809     
653.9484   3053.3657  0.2809     
654.1008   3049.5933  0.2808     
654.2532   3043.0784  0.2808     
654.4056   3033.3120  0.2807     
654.5580   3018.0769  0.2805     
654.7104   3006.6218  0.2804     
654.8628   3006.7305  0.2804     
655.0152   3009.4668  0.2804     
655.1676   3011.6067  0.2805     
655.3200   3002.0845  0.2804     
655.4724   2970.5681  0.2801     
655.6248   2922.1260  0.2796     
655.7772   2860.8315  0.2790     
655.9296   2793.9568  0.2784     
656.0820   2725.0537  0.2777     
656.2344   2658.3245  0.2770     
656.3868   2599.0637  0.2764     
656.5392   2545.6809  0.2758     
656.6916   2495.6528  0.2752     
656.8440   2449.6025  0.2747     
656.9964   2410.0964  0.2743     
657.1488   2378.2861  0.2739     
657.3012   2349.1355  0.2736     
657.4536   2319.3279  0.2732     
657.6060   2286.8770  0.2728     
657.7584   2255.8689  0.2725     
657.9108   2231.1226  0.2722     
658.0632   2211.5161  0.2719     
658.2156   2194.3403  0.2717     
658.3680   2171.8591  0.2714     
658.5204   2143.4985  0.2711     
658.6728   2111.0884  0.2707     
658.8252   2072.5845  0.2702     
658.9776   2030.1067  0.2696     
659.1300   1983.5042  0.2690     
659.2824   1934.9208  0.2683     
659.4348   1888.1719  0.2677     
659.5872   1843.3181  0.2670     
659.7396   1799.8464  0.2664     
659.8920   1759.2653  0.2658     
660.0444   1721.5164  0.2652     
660.1968   1687.1783  0.2647     
660.3492   1655.9650  0.2642     
660.5016   1625.4762  0.2637     
660.6540   1595.1541  0.2632     
660.8064   1569.1425  0.2628     
660.9588   1552.5282  0.2625     
661.1112   1544.3569  0.2623     
661.2636   1539.4993  0.2623     
661.4160   1536.4862  0.2622     
661.5684   1511.4774  0.2618     
661.7208   1475.4216  0.2611     
661.8732   1437.0562  0.2605     
662.0256   1395.6511  0.2597     
662.1780   1360.4977  0.2590     
662.3304   1330.1177  0.2585     
662.4828   1302.2742  0.2579     
662.6352   1276.9448  0.2574     
662.7876   1251.1161  0.2569     
662.9400   1221.0647  0.2563     
663.0924   1188.4442  0.2556     
663.2448   1154.8075  0.2548     
663.3972   1114.0332  0.2539     
663.5496   1078.4409  0.2531     
663.7020   1043.1101  0.2522     
663.8544   1009.5744  0.2514     
664.0068   986.4738   0.2508     
664.1592   966.6046   0.2503     
664.3116   942.9923   0.2497     
664.4640   918.7424   0.2491     
664.6164   897.9943   0.2485     
664.7688   878.7524   0.2480     
664.9212   858.2817   0.2474     
665.0736   841.4546   0.2469     
665.2260   825.5752   0.2464     
665.3784   811.6559   0.2460     
665.5308   799.5953   0.2456     
665.6832   788.1663   0.2453     
665.8356   781.4897   0.2451     
665.9880   775.1556   0.2449     
666.1404   769.2349   0.2447     
666.2928   762.6328   0.2445     
666.4452   750.4901   0.2441     
666.5976   732.9424   0.2435     
666.7500   712.5204   0.2428     
666.9024   694.2580   0.2422     
667.0548   688.0006   0.2420     
667.2072   697.9110   0.2423     
667.3596   723.1768   0.2432     
667.5120   756.7599   0.2443     
667.6644   778.5662   0.2450     
667.8168   790.1050   0.2453     
667.9692   794.6028   0.2455     
668.1216   790.8481   0.2454     
668.2740   781.1625   0.2451     
668.4264   769.7849   0.2447     
668.5788   757.9288   0.2443     
668.7312   748.3120   0.2440     
668.8836   738.4690   0.2437     
669.0360   729.8392   0.2434     
669.1884   721.6558   0.2431     
669.3408   715.2760   0.2429     
669.4932   713.7784   0.2429     
669.6456   711.6055   0.2428     
669.7980   706.0157   0.2426     
669.9504   696.3480   0.2423     
670.1028   686.6564   0.2419     
670.2552   677.3456   0.2416     
670.4076   674.1552   0.2415     
670.5600   674.8360   0.2415     
670.7124   674.2987   0.2415     
670.8648   671.5286   0.2414     
671.0172   664.6769   0.2411     
671.1696   650.7440   0.2406     
671.3220   633.6215   0.2400     
671.4744   617.7217   0.2394     
671.6268   609.6398   0.2391     
671.7792   605.5972   0.2389     
671.9316   603.4852   0.2388     
672.0840   599.8231   0.2387     
672.2364   595.9471   0.2385     
672.3888   590.1938   0.2383     
672.5412   582.1727   0.2380     
672.6936   576.9565   0.2377     
672.8460   570.2851   0.2375     
672.9984   569.5406   0.2374     
673.1508   571.7870   0.2375     
673.3032   574.3179   0.2376     
673.4556   576.9316   0.2377     
673.6080   579.1893   0.2378     
673.7604   571.9775   0.2375     
673.9128   564.4697   0.2372     
674.0652   558.2659   0.2370     
674.2176   551.6478   0.2367     
674.3700   544.6398   0.2364     
674.5224   537.6256   0.2361     
674.6748   530.6213   0.2358     
674.8272   523.5039   0.2354     
674.9796   515.0452   0.2351     
675.1320   510.0311   0.2348     
675.2844   506.7097   0.2347     
675.4368   504.1754   0.2346     
675.5892   502.3075   0.2345     
675.7416   493.4879   0.2341     
675.8940   484.0297   0.2336     
676.0464   476.6889   0.2332     
676.1988   470.9171   0.2330     
676.3512   467.6081   0.2328     
676.5036   467.7383   0.2328     
676.6560   467.1621   0.2328     
676.8084   464.3417   0.2326     
676.9608   460.5717   0.2324     
677.1132   457.5486   0.2323     
677.2656   451.9950   0.2320     
677.4180   451.6897   0.2320     
677.5704   454.5190   0.2321     
677.7228   454.3496   0.2321     
677.8752   451.7831   0.2320     
678.0276   452.1988   0.2320     
678.1800   454.7399   0.2321     
678.3324   458.6248   0.2323     
678.4848   463.8561   0.2326     
678.6372   456.3878   0.2322     
678.7896   446.6908   0.2317     
678.9420   440.5272   0.2314     
679.0944   436.9047   0.2312     
679.2468   433.3233   0.2310     
679.3992   429.9967   0.2309     
679.5516   428.6071   0.2308     
679.7040   432.1563   0.2310     
679.8564   438.7676   0.2313     
680.0088   446.6483   0.2317     
680.1612   453.1826   0.2321     
680.3136   458.5031   0.2323     
680.4660   463.7616   0.2326     
680.6184   468.5861   0.2328     
680.7708   471.2940   0.2330     
680.9232   471.6844   0.2330     
681.0756   468.2663   0.2328     
681.2280   459.7140   0.2324     
681.3804   451.9326   0.2320     
681.5328   445.6689   0.2317     
681.6852   440.0439   0.2314     
681.8376   436.7682   0.2312     
681.9900   432.8352   0.2310     
682.1424   431.5932   0.2309     
682.2948   434.5258   0.2311     
682.4472   437.4337   0.2312     
682.5996   438.9923   0.2313     
682.7520   437.9479   0.2313     
682.9044   436.0585   0.2312     
683.0568   432.8338   0.2310     
683.2092   428.4337   0.2308     
683.3616   423.0914   0.2305     
683.5140   416.8384   0.2301     
683.6664   410.2929   0.2298     
683.8188   402.8196   0.2293     
683.9712   394.6086   0.2289     
684.1236   386.3186   0.2284     
684.2760   378.2545   0.2279     
684.4284   371.4948   0.2275     
684.5808   370.7587   0.2275     
684.7332   369.8229   0.2274     
684.8856   368.4771   0.2273     
685.0380   367.1603   0.2272     
685.1904   365.6822   0.2271     
685.3428   366.8495   0.2272     
685.4952   371.3776   0.2275     
685.6476   378.0412   0.2279     
685.8000   386.0090   0.2284     
685.9524   393.3513   0.2288     
686.1048   394.7878   0.2289     
686.2572   392.8640   0.2288     
686.4096   391.8626   0.2287     
686.5620   398.4152   0.2291     
686.7144   406.3492   0.2295     
686.8668   422.7910   0.2305     
687.0192   434.1777   0.2311     
687.1716   443.7061   0.2316     
687.3240   450.5500   0.2319     
687.4764   447.9853   0.2318     
687.6288   441.1535   0.2314     
687.7812   434.1161   0.2311     
687.9336   427.6130   0.2307     
688.0860   421.7621   0.2304     
688.2384   416.5883   0.2301     
688.3908   412.6623   0.2299     
688.5432   410.2722   0.2298     
688.6956   409.3639   0.2297     
688.8480   408.9261   0.2297     
689.0004   409.5264   0.2297     
689.1528   411.6359   0.2298     
689.3052   415.4264   0.2301     
689.4576   420.3666   0.2303     
689.6100   425.2420   0.2306     
689.7624   429.2689   0.2308     
689.9148   432.0807   0.2310     
690.0672   434.5375   0.2311     
690.2196   438.2999   0.2313     
690.3720   442.0516   0.2315     
690.5244   448.3980   0.2318     
690.6768   454.6553   0.2321     
690.8292   459.7544   0.2324     
690.9816   462.9185   0.2326     
691.1340   462.6404   0.2325     
691.2864   461.6754   0.2325     
691.4388   462.9828   0.2326     
691.5912   466.6747   0.2327     
691.7436   470.4602   0.2329     
691.8960   475.4490   0.2332     
692.0484   481.5361   0.2335     
692.2008   488.0480   0.2338     
692.3532   496.1851   0.2342     
692.5056   506.9565   0.2347     
692.6580   518.4817   0.2352     
692.8104   531.3968   0.2358     
692.9628   545.4041   0.2364     
693.1152   562.0414   0.2371     
693.2676   584.2588   0.2380     
693.4200   608.7316   0.2390     
693.5724   635.7272   0.2401     
693.7248   666.9947   0.2412     
693.8772   693.0363   0.2421     
694.0296   707.3045   0.2426     
694.1820   719.0870   0.2430     
694.3344   732.8877   0.2435     
694.4868   747.9972   0.2440     
694.6392   760.9380   0.2444     
694.7916   773.4834   0.2448     
694.9440   786.2137   0.2452     
695.0964   800.0975   0.2456     
695.2488   814.5107   0.2461     
695.4012   826.1973   0.2464     
695.5536   835.3773   0.2467     
695.7060   838.7220   0.2468     
695.8584   841.6678   0.2469     
696.0108   847.0126   0.2470     
696.1632   855.7624   0.2473     
696.3156   873.3931   0.2478     
696.4680   898.4241   0.2485     
696.6204   925.3013   0.2492     
696.7728   943.9205   0.2497     
696.9252   954.6184   0.2500     
697.0776   951.2407   0.2499     
697.2300   931.7704   0.2494     
697.3824   905.9822   0.2487     
697.5348   876.8982   0.2479     
697.6872   854.7808   0.2473     
697.8396   841.9549   0.2469     
697.9920   835.8965   0.2467     
698.1444   841.8411   0.2469     
698.2968   862.3856   0.2475     
698.4492   882.8064   0.2481     
698.6016   899.6340   0.2485     
698.7540   910.7618   0.2488     
698.9064   903.5446   0.2486     
699.0588   892.3876   0.2483     
699.2112   877.9744   0.2479     
699.3636   862.6187   0.2475     
699.5160   845.2188   0.2470     
699.6684   832.4830   0.2466     
699.8208   823.6973   0.2464     
699.9732   817.8405   0.2462     
700.1256   813.2038   0.2460     
700.2780   816.4028   0.2461     
700.4304   817.0781   0.2462     
700.5828   817.0499   0.2462     
700.7352   821.8391   0.2463     
700.8876   829.7120   0.2465     
701.0400   840.7104   0.2469     
701.1924   858.4833   0.2474     
701.3448   877.6553   0.2479     
701.4972   895.1926   0.2484     
701.6496   909.1240   0.2488     
701.8020   920.7861   0.2491     
701.9544   932.0098   0.2494     
702.1068   940.4052   0.2496     
702.2592   943.2736   0.2497     
702.4116   944.1334   0.2497     
702.5640   949.2833   0.2499     
702.7164   950.1140   0.2499     
702.8688   949.3133   0.2499     
703.0212   937.2277   0.2496     
703.1736   924.1625   0.2492     
703.3260   914.4114   0.2489     
703.4784   906.9894   0.2487     
703.6308   896.6288   0.2485     
703.7832   898.5630   0.2485     
703.9356   903.7541   0.2487     
704.0880   909.1871   0.2488     
704.2404   915.8397   0.2490     
704.3928   923.6703   0.2492     
704.5452   932.2475   0.2494     
704.6976   942.4489   0.2497     
704.8500   955.8866   0.2501     
705.0024   972.8358   0.2505     
705.1548   984.8263   0.2508     
705.3072   995.9433   0.2511     
705.4596   1004.1696  0.2513     
705.6120   1009.6893  0.2514     
705.7644   1023.1092  0.2518     
705.9168   1034.5249  0.2520     
706.0692   1040.7379  0.2522     
706.2216   1044.3109  0.2523     
706.3740   1044.5453  0.2523     
706.5264   1043.2050  0.2522     
706.6788   1045.1932  0.2523     
706.8312   1048.6586  0.2524     
706.9836   1054.1901  0.2525     
707.1360   1059.4216  0.2526     
707.2884   1068.3020  0.2528     
707.4408   1068.0942  0.2528     
707.5932   1061.5853  0.2527     
707.7456   1057.4913  0.2526     
707.8980   1056.8553  0.2526     
708.0504   1043.3171  0.2523     
708.2028   1024.1268  0.2518     
708.3552   1003.3566  0.2513     
708.5076   979.6725   0.2507     
708.6600   986.7375   0.2508     
708.8124   1002.2719  0.2512     
708.9648   1012.5493  0.2515     
709.1172   1015.4648  0.2516     
709.2696   1011.6679  0.2515     
709.4220   1002.6274  0.2513     
709.5744   990.8842   0.2510     
709.7268   975.4811   0.2506     
709.8792   956.4119   0.2501     
710.0316   934.3417   0.2495     
710.1840   913.2579   0.2489     
710.3364   894.1784   0.2484     
710.4888   880.2362   0.2480     
710.6412   872.4069   0.2478     
710.7936   870.5715   0.2477     
710.9460   872.5233   0.2478     
711.0984   871.3682   0.2477     
711.2508   869.2269   0.2477     
711.4032   867.5828   0.2476     
711.5556   868.4899   0.2477     
711.7080   873.5474   0.2478     
711.8604   881.8483   0.2480     
712.0128   892.8566   0.2484     
712.1652   903.0368   0.2486     
712.3176   913.2153   0.2489     
712.4700   925.2244   0.2492     
712.6224   936.5945   0.2495     
712.7748   949.3773   0.2499     
712.9272   962.2779   0.2502     
713.0796   976.1564   0.2506     
713.2320   989.4732   0.2509     
713.3844   1002.3658  0.2512     
713.5368   1015.1028  0.2516     
713.6892   1025.7958  0.2518     
713.8416   1036.8033  0.2521     
713.9940   1047.6697  0.2524     
714.1464   1059.2393  0.2526     
714.2988   1073.1780  0.2530     
714.4512   1085.8933  0.2533     
714.6036   1085.2010  0.2532     
714.7560   1084.0728  0.2532     
714.9084   1078.9972  0.2531     
715.0608   1070.5400  0.2529     
715.2132   1065.2139  0.2528     
715.3656   1057.2668  0.2526     
715.5180   1045.0154  0.2523     
715.6704   1031.6420  0.2520     
715.8228   1018.2274  0.2516     
715.9752   1008.3235  0.2514     
716.1276   1013.2310  0.2515     
716.2800   1024.8967  0.2518     
716.4324   1030.0680  0.2519     
716.5848   1013.6212  0.2515     
716.7372   992.6776   0.2510     
716.8896   954.2191   0.2500     
717.0420   928.5427   0.2493     
717.1944   907.3268   0.2488     
717.3468   891.3201   0.2483     
717.4992   893.2606   0.2484     
717.6516   903.5537   0.2486     
717.8040   913.0191   0.2489     
717.9564   919.0843   0.2491     
718.1088   922.1958   0.2492     
718.2612   923.5140   0.2492     
718.4136   925.8651   0.2493     
718.5660   928.1865   0.2493     
718.7184   929.2460   0.2493     
718.8708   930.1920   0.2494     
719.0232   929.9764   0.2494     
719.1756   927.0839   0.2493     
719.3280   921.2003   0.2491     
719.4804   913.3071   0.2489     
719.6328   905.9936   0.2487     
719.7852   900.6711   0.2486     
719.9376   896.8563   0.2485     
720.0900   894.5266   0.2484     
720.2424   890.2286   0.2483     
720.3948   886.5909   0.2482     
720.5472   879.4713   0.2480     
720.6996   874.1879   0.2478     
720.8520   870.5553   0.2477     
721.0044   868.6362   0.2477     
721.1568   870.3663   0.2477     
721.3092   883.1888   0.2481     
721.4616   898.9515   0.2485     
721.6140   914.9841   0.2490     
721.7664   930.4432   0.2494     
721.9188   938.0231   0.2496     
722.0712   939.8654   0.2496     
722.2236   937.0302   0.2496     
722.3760   930.5811   0.2494     
722.5284   919.6683   0.2491     
722.6808   900.0235   0.2486     
